Date,Open,High,Low,Close,Adj Close,Volume
1999-02-11,9175.049805,9363.459961,9143.330078,9363.459961,9363.459961,87430000
1999-02-12,9367.320313,9389.980469,9228.030273,9274.889648,9274.889648,78430000
1999-02-16,9277.309570,9387.660156,9234.730469,9297.030273,9297.030273,76970000
1999-02-17,9289.780273,9365.540039,9179.209961,9195.469727,9195.469727,83350000
1999-02-18,9201.870117,9308.759766,9190.940430,9298.629883,9298.629883,75070000
1999-02-19,9299.169922,9395.669922,9267.709961,9339.950195,9339.950195,73110000
1999-02-22,9339.950195,9558.280273,9331.160156,9552.679688,9552.679688,81950000
1999-02-23,9553.480469,9611.330078,9473.240234,9544.419922,9544.419922,84810000
1999-02-24,9544.230469,9600.129883,9391.139648,9399.669922,9399.669922,82630000
1999-02-25,9395.660156,9396.190430,9233.320313,9366.339844,9366.339844,80780000
1999-02-26,9365.259766,9398.400391,9252.519531,9306.580078,9306.580078,81460000
1999-03-01,9307.389648,9355.209961,9222.629883,9324.780273,9324.780273,104740000
1999-03-02,9324.240234,9421.219727,9268.000000,9297.610352,9297.610352,79710000
1999-03-03,9296.440430,9337.000000,9211.230469,9275.879883,9275.879883,74640000
1999-03-04,9275.719727,9480.709961,9275.719727,9467.400391,9467.400391,110950000
1999-03-05,9467.669922,9738.790039,9467.669922,9736.080078,9736.080078,97210000
1999-03-08,9737.190430,9764.799805,9674.330078,9727.610352,9727.610352,78540000
1999-03-09,9725.389648,9798.929688,9669.889648,9693.759766,9693.759766,96620000
1999-03-10,9695.980469,9776.169922,9675.719727,9772.839844,9772.839844,90040000
1999-03-11,9769.959961,9935.459961,9769.959961,9897.440430,9897.440430,97870000
1999-03-12,9897.719727,9958.769531,9861.919922,9876.349609,9876.349609,97760000
1999-03-15,9876.080078,9970.150391,9862.480469,9958.769531,9958.769531,78860000
1999-03-16,9957.660156,10001.780273,9926.580078,9930.469727,9930.469727,74480000
1999-03-17,9931.129883,9960.709961,9859.150391,9879.410156,9879.410156,84570000
1999-03-18,9873.900391,10001.509766,9845.830078,9997.620117,9997.620117,86480000
1999-03-19,10001.230469,10085.309570,9899.940430,9903.549805,9903.549805,117430000
1999-03-22,9902.280273,9934.629883,9874.969727,9890.509766,9890.509766,61210000
1999-03-23,9890.230469,9891.059570,9632.709961,9671.830078,9671.830078,87510000
1999-03-24,9671.559570,9703.190430,9625.209961,9666.839844,9666.839844,72990000
1999-03-25,9664.900391,9841.940430,9664.900391,9836.389648,9836.389648,80470000
1999-03-26,9836.389648,9853.320313,9747.309570,9822.240234,9822.240234,66210000
1999-03-29,9821.610352,10040.360352,9821.610352,10006.780273,10006.780273,69040000
1999-03-30,10003.839844,10003.839844,9874.410156,9913.259766,9913.259766,73970000
1999-03-31,9914.370117,10002.339844,9781.450195,9786.160156,9786.160156,111740000
1999-04-01,9786.440430,9840.000000,9765.629883,9832.509766,9832.509766,68310000
1999-04-05,9836.120117,10023.150391,9836.120117,10007.330078,10007.330078,71120000
1999-04-06,10004.839844,10030.370117,9915.759766,9963.490234,9963.490234,74900000
1999-04-07,9963.490234,10089.750000,9955.160156,10085.309570,10085.309570,95470000
1999-04-08,10086.419922,10209.080078,10059.780273,10197.700195,10197.700195,91210000
1999-04-09,10197.700195,10212.129883,10094.469727,10173.839844,10173.839844,79950000
1999-04-12,10174.110352,10340.620117,10096.690430,10339.509766,10339.509766,84540000
1999-04-13,10340.620117,10418.870117,10316.469727,10395.009766,10395.009766,88310000
1999-04-14,10394.730469,10526.540039,10367.809570,10411.660156,10411.660156,107230000
1999-04-15,10411.660156,10500.740234,10378.629883,10462.719727,10462.719727,137100000
1999-04-16,10463.559570,10520.009766,10386.610352,10493.889648,10493.889648,113560000
1999-04-19,10493.889648,10765.740234,10404.870117,10440.530273,10440.530273,145000000
1999-04-20,10440.530273,10496.370117,10333.150391,10448.549805,10448.549805,113400000
1999-04-21,10448.959961,10581.419922,10420.769531,10581.419922,10581.419922,95180000
1999-04-22,10580.620117,10753.809570,10580.049805,10727.179688,10727.179688,107780000
1999-04-23,10726.040039,10754.669922,10646.709961,10689.669922,10689.669922,106990000
1999-04-26,10689.669922,10729.190430,10649.860352,10718.589844,10718.589844,86860000
1999-04-27,10719.160156,10847.740234,10719.160156,10831.709961,10831.709961,103340000
1999-04-28,10831.990234,10935.370117,10811.089844,10845.450195,10845.450195,99540000
1999-04-29,10844.780273,10928.209961,10834.860352,10878.379883,10878.379883,104670000
1999-04-30,10876.950195,10961.709961,10654.730469,10789.040039,10789.040039,122040000
1999-05-03,10789.040039,11014.690430,10756.110352,11014.690430,11014.690430,94430000
1999-05-04,11014.690430,11035.309570,10868.360352,10886.110352,10886.110352,105900000
